"00:19:58,794","00:20:01,339
", ,JOHN BRIDGER

"00:20:01,422","00:20:05,343
",get,HANDSOME ROB

"00:20:05,426","00:20:09,388
", ,STELLA

"00:20:09,472","00:20:11,557
", ,STELLA

"00:20:11,641","00:20:14,644
", ,STELLA

"00:20:14,727","00:20:16,771
", ,CHARLIE

"00:20:16,812","00:20:19,106
", ,HANDSOME ROB

"00:20:19,148","00:20:21,108
",getting,CHARLIE

"00:20:21,150","00:20:22,610
", ,CHARLIE

"00:20:22,652","00:20:23,778
", ,STEVE

"00:20:25,154","00:20:26,447
", ,JOHN BRIDGER

"00:20:26,489","00:20:27,907
", ,STELLA

"00:20:27,990","00:20:30,451
", ,ALL OF THEM

"00:20:30,493","00:20:33,913
", ,CHARLIE

"00:20:42,129","00:20:45,299
", ,CHARLIE

"00:20:45,341","00:20:47,927
", ,JOHN BRIDGER

"00:20:48,010","00:20:55,142
",cash,CHARLIE

"00:20:55,309","00:20:58,688
", ,CHARLIE

"00:20:58,771","00:21:00,564
", ,LYLE

"00:21:00,648","00:21:02,275
", ,STEVE

"00:21:02,358","00:21:04,360
", ,JOHN BRIDGER

"00:21:04,443","00:21:06,529
", ,CHARLIE

"00:21:12,702","00:21:15,579
", ,STEVE

"00:21:15,663","00:21:17,164
", ,CHARLIE

"00:21:20,209","00:21:22,169
", ,CHARLIE

"00:21:25,965","00:21:26,632
", ,CHARLIE

"00:21:26,716","00:21:27,800
", ,MASHKOV

"00:21:27,883","00:21:28,509
", ,MASHKOV

"00:21:31,887","00:21:33,848
", ,CHARLIE

"00:21:39,228","00:21:40,062
", ,CHARLIE

"00:21:40,146","00:21:41,355
", ,ALL OF THEM

"00:21:41,397","00:21:42,356
", ,CHARLIE

"00:21:42,398","00:21:43,774
", ,STEVE

"00:21:47,069","00:21:49,447
", ,CHARLIE

"00:21:49,530","00:21:50,448
", ,JOHN BRIDGER

"00:21:50,531","00:21:51,741
", ,STELLA

"00:21:52,908","00:21:53,367
", ,LYLE

"00:23:37,680","00:23:40,766
", ,LYLE

"00:23:40,850","00:23:43,811
", ,HANDSOME ROB

"00:25:07,603","00:25:09,272
",work,FIRST COP

"00:25:09,355","00:25:12,024
", ,CHARLIE

"00:25:14,402","00:25:15,319
", ,CHARLIE

"00:25:15,403","00:25:17,071
", ,FIRST COP

"00:25:17,196","00:25:18,906
", ,SECOND COP

"00:25:18,990","00:25:20,241
", ,SECOND COP

"00:25:20,283","00:25:21,242
", ,STELLA

"00:25:21,284","00:25:22,285
", ,FIRST COP

"00:25:22,326","00:25:25,079
",break on,FIRST COP

"00:25:25,246","00:25:26,914
",community,FIRST COP

"00:25:26,956","00:25:29,083
",money,STELLA

"00:25:29,125","00:25:30,626
",bill,STELLA

"00:25:30,710","00:25:32,503
", ,SECOND COP

"00:25:32,586","00:25:33,587
", ,JOHN BRIDGER

"00:25:34,630","00:25:36,257
", ,CHARLIE

"00:25:36,340","00:25:37,383
", ,CHARLIE

"00:25:37,466","00:25:40,344
", ,HALF-EAR

"00:25:40,428","00:25:43,598
", ,HANDSOME ROB

"00:25:43,639","00:25:45,308
",way,JOHN BRIDGER

"00:25:45,391","00:25:48,102
", ,CHARLIE

"00:25:48,144","00:25:50,896
",change,STEVE

"00:25:50,980","00:25:53,107
", ,STEVE

"00:25:53,232","00:25:55,610
", ,LYLE

"00:25:55,651","00:25:57,987
", ,STEVE

"00:25:58,070","00:26:02,033
", ,LYLE

"00:26:02,116","00:26:03,701
",out,YEVHEN

"00:26:03,784","00:26:06,996
", ,LYLE

"00:26:07,079","00:26:08,831
", ,STELLA

"00:26:12,335","00:26:13,294
",long,STEVE

"00:26:13,336","00:26:15,755
", ,STELLA

"00:26:15,838","00:26:16,756
", ,RECEPTIONIST

"00:26:16,839","00:26:17,798
",on,CHARLIE

"00:26:17,882","00:26:19,008
", ,RECEPTIONIST

"00:26:19,091","00:26:20,593
", ,RECEPTIONIST

"00:26:20,676","00:26:22,011
",out,RECEPTIONIST

"00:26:22,094","00:26:23,220
", ,RECEPTIONIST

"00:26:23,304","00:26:26,265
",on,RECEPTIONIST

"00:26:26,349","00:26:28,100
",couple,FURIOUS DRIVER

"00:26:28,225","00:26:29,310
", ,HANDSOME ROB

"00:26:29,352","00:26:31,604
", ,RECEPTIONIST

"00:26:32,772","00:26:34,899
", ,RECEPTIONIST

"00:26:37,860","00:26:40,696
", ,STELLA

"00:26:40,780","00:26:42,323
", ,FIRST COP

"00:26:45,326","00:26:47,286
", ,STEVE

"00:26:48,704","00:26:50,957
", ,STELLA

"00:26:51,040","00:26:52,458
", ,STEVE

"00:26:52,541","00:26:54,377
", ,STEVE

"00:26:59,340","00:27:00,800
", ,FIRST COP

"00:27:00,883","00:27:03,636
", ,CHARLIE

"00:27:03,719","00:27:04,762
",gold,CHARLIE

"00:27:04,845","00:27:06,180
",on,DETECTIVE

"00:27:06,222","00:27:07,473
", ,CHARLIE

"00:27:07,556","00:27:08,891
", ,CHARLIE

"00:27:08,975","00:27:11,310
",gold out,CHARLIE

"00:27:11,394","00:27:13,020
", ,CHARLIE

"00:27:13,062","00:27:14,438
", ,CHARLIE

"00:27:15,731","00:27:18,234
", ,CHARLIE

"00:27:18,317","00:27:20,486
", ,CHARLIE

"00:27:26,575","00:27:28,452
", ,LYLE

"00:27:28,536","00:27:30,705
",out,HANDSOME ROB

"00:27:30,788","00:27:32,331
",out,CHARLIE

"00:27:32,415","00:27:33,874
", ,CHARLIE

"00:27:33,916","00:27:35,376
", ,CHARLIE

"00:27:35,418","00:27:37,044
",big guard,CHARLIE

"00:27:37,086","00:27:38,087
", ,CHARLIE

"00:27:38,212","00:27:39,088
", ,LYLE

"00:27:39,213","00:27:40,423
",crew,CHARLIE

"00:27:40,506","00:27:42,591
", ,CHARLIE

"00:27:42,675","00:27:44,260
", ,STELLA
